Player,Team,Pos,Cmp%,Yds,TD,Int,Rate
Joe Burrow,CIN,QB,70.6,4918,43,9,108.5
Jared Goff,DET,QB,72.4,4629,37,12,111.8
Baker Mayfield,TAM,QB,71.4,4500,41,16,106.8
Geno Smith,SEA,QB,70.4,4320,21,15,93.2
Sam Darnold,MIN,QB,66.2,4319,35,12,102.5
Lamar Jackson,BAL,QB,66.7,4172,41,4,119.6
Patrick Mahomes,KAN,QB,67.5,3928,26,11,93.5
Aaron Rodgers,NYJ,QB,63,3897,28,11,90.5
Justin Herbert,LAC,QB,65.9,3870,23,3,101.7
Brock Purdy,SFO,QB,65.9,3864,20,12,96.1
Kyler Murray,ARI,QB,68.8,3851,21,11,93.5
Bo Nix,DEN,QB,66.3,3775,29,12,93.3
Matthew Stafford,LAR,QB,65.8,3762,20,8,93.7
Josh Allen,BUF,QB,63.6,3731,28,6,101.4
C.J. Stroud,HOU,QB,63.2,3727,20,12,87
Jayden Daniels,WAS,QB,69,3568,25,9,100.1
Caleb Williams,CHI,QB,62.5,3541,20,6,87.8
Kirk Cousins,ATL,QB,66.9,3508,18,16,88.6
Jordan Love,GNB,QB,63.1,3389,25,11,96.7
Jalen Hurts,PHI,QB,68.7,2903,18,5,103.7
Tua Tagovailoa,MIA,QB,72.9,2867,19,7,101.4
Russell Wilson,PIT,QB,63.7,2482,16,5,95.6
Bryce Young,CAR,QB,60.9,2403,15,9,82.2
Drake Maye,NWE,QB,66.6,2276,15,10,88.1
Derek Carr,NOR,QB,67.7,2145,15,5,101
Will Levis,TEN,QB,63.1,2091,13,12,81.4
Daniel Jones,NYG,QB,63.3,2070,8,7,79.4
Trevor Lawrence,JAX,QB,60.6,2045,11,7,85.2
Anthony Richardson,IND,QB,47.7,1814,8,12,61.6
