Player,Team,Pos,Yds,TD,Y/A
Saquon Barkley,PHI,RB,2005,13,5.8
Derrick Henry,BAL,RB,1921,16,5.9
Kyren Williams,LAR,RB,1299,14,4.1
Bijan Robinson,ATL,RB,1456,14,4.8
Jonathan Taylor,IND,RB,1431,11,4.7
Josh Jacobs,GNB,RB,1329,15,4.4
Najee Harris,PIT,RB,1043,6,4
Tony Pollard,TEN,RB,1079,5,4.2
Aaron Jones,MIN,RB,1138,5,4.5
D'Andre Swift,CHI,RB,959,6,3.8
Jahmyr Gibbs,DET,RB,1412,16,5.6
Chuba Hubbard,CAR,RB,1195,10,4.8
Joe Mixon,HOU,RB,1016,11,4.1
James Conner,ARI,RB,1094,8,4.6
Rico Dowdle,DAL,RB,1079,2,4.6
Chase Brown,CIN,RB,990,7,4.3
Alvin Kamara,NOR,RB,950,6,4.2
Breece Hall,NYJ,RB,876,5,4.2
James Cook,BUF,RB,1009,16,4.9
Bucky Irving,TAM,RB,1122,8,5.4
Rhamondre Stevenson,NWE,RB,801,7,3.9
De'Von Achane,MIA,RB,907,6,4.5
Kareem Hunt,KAN,RB,728,7,3.6
J.K. Dobbins,LAC,RB,905,9,4.6
Tyrone Tracy Jr.,NYG,RB,839,5,4.4
Brian Robinson Jr.,WAS,RB,799,8,4.3
David Montgomery,DET,RB,775,12,4.2
Tank Bigsby,JAX,RB,766,7,4.6
Jordan Mason,SFO,RB,789,3,5.2
Kenneth Walker III,SEA,RB,573,7,3.7
Travis Etienne,JAX,RB,558,2,3.7
Rachaad White,TAM,RB,613,3,4.3
Javonte Williams,DEN,RB,513,4,3.7
Tyler Allgeier,ATL,RB,644,3,4.7
Zach Charbonnet,SEA,RB,569,8,4.2
Alexander Mattison,LVR,RB,420,4,3.2
Antonio Gibson,NWE,RB,538,1,4.5
Jaylen Warren,PIT,RB,511,1,4.3
Ray Davis,BUF,RB,442,3,3.9
Jaleel McLaughlin,DEN,RB,496,1,4.4
Devin Singletary,NYG,RB,437,4,3.9
Jerome Ford,CLE,RB,565,3,5.4
Cam Akers,MIN,RB,297,1,4.6
Cam Akers,2TM,RB,444,2,4.3
Emanuel Wilson,GNB,RB,502,4,4.9
Gus Edwards,LAC,RB,365,4,3.6
Braelon Allen,NYJ,RB,334,2,3.6
Raheem Mostert,MIA,RB,278,2,3.3
Isaac Guerendo,SFO,RB,420,4,5
Tyjae Spears,TEN,RB,312,4,3.7
Austin Ekeler,WAS,RB,367,4,4.8
Audric Estime,DEN,RB,310,2,4.1
Kenneth Gainwell,PHI,RB,290,1,3.9
Ezekiel Elliott,DAL,RB,226,3,3.1
D'Onta Foreman,CLE,RB,232,0,3.3
Jaylen Wright,MIA,RB,249,0,3.7
Ameer Abdullah,LVR,RB,311,2,4.7
Trey Benson,ARI,RB,291,1,4.6
Blake Corum,LAR,RB,207,0,3.6
Ty Chandler,MIN,RB,182,0,3.3
Trey Sermon,IND,RB,159,2,2.8
Carson Steele,KAN,RB,183,0,3.3
Roschon Johnson,CHI,RB,150,6,2.7
Jeremy McNichols,WAS,RB,261,4,4.7
Miles Sanders,CAR,RB,205,2,3.7
Sean Tucker,TAM,RB,308,2,6.2
Jamaal Williams,NOR,RB,164,1,3.4
Justice Hill,BAL,RB,228,1,4.9
Kimani Vidal,LAC,RB,155,0,3.6
Ty Johnson,BUF,RB,213,1,5.2
Dameon Pierce,HOU,RB,293,2,7.3
