Player,Team,Pos,Rec,Yds,TD
Trey McBride,ARI,TE,126,1239,11
Kyle Pitts,ATL,TE,88,928,5
Jake Ferguson,DAL,TE,82,600,8
Dalton Schultz,HOU,TE,82,777,3
Juwan Johnson,NOR,TE,77,889,3
Travis Kelce,KAN,TE,76,851,5
Tyler Warren,IND,TE,76,817,4
Harold Fannin,CLE,TE,72,731,6
Brock Bowers,LVR,TE,64,680,7
Dallas Goedert,PHI,TE,60,591,11
Hunter Henry,NWE,TE,60,768,7
Cade Otton,TAM,TE,59,572,1
Colston Loveland,CHI,TE,58,713,6
George Kittle,SFO,TE,57,628,7
Chigoziem Okonkwo,TEN,TE,56,560,2
AJ Barner,SEA,TE,52,519,6
T.J. Hockenson,MIN,TE,51,438,3
Evan Engram,DEN,TE,50,461,1
Zach Ertz,WAS,TE,50,504,4
Oronde Gadsden II,LAC,TE,49,664,3
Mark Andrews,BAL,TE,48,422,5
Brenton Strange,JAX,TE,46,540,3
Theo Johnson,NYG,TE,45,528,5
Gunnar Helm,TEN,TE,44,357,2
Mason Taylor,NYJ,TE,44,369,1
Colby Parkinson,LAR,TE,43,408,8
Pat Freiermuth,PIT,TE,41,486,4
Dalton Kincaid,BUF,TE,39,571,5
Jonnu Smith,PIT,TE,38,222,2
Dawson Knox,BUF,TE,36,417,4
Michael Mayer,LVR,TE,35,328,1
Noah Fant,CIN,TE,34,288,3
Jake Tonges,SFO,TE,34,293,5
David Njoku,CLE,TE,33,293,4
Darnell Washington,PIT,TE,31,364,1
Elijah Higgins,ARI,TE,30,301,0
Cole Kmet,CHI,TE,30,347,2
Ja'Tavion Sanders,CAR,TE,29,190,1
Mike Gesicki,CIN,TE,28,307,2
Isaiah Likely,BAL,TE,27,307,1
Tommy Tremble,CAR,TE,27,249,2
Greg Dulcich,MIA,TE,26,335,1
Tyler Higbee,LAR,TE,25,281,3
Davis Allen,LAR,TE,24,208,3
Luke Musgrave,GNB,TE,24,252,0
Jeremy Ruckert,NYJ,TE,23,179,1
