Player,Team,Pos,Rec,Yds,TD
Ja'Marr Chase,CIN,WR,127,1708,17
Amon-Ra St. Brown,DET,WR,115,1263,12
Malik Nabers,NYG,WR,109,1204,7
Justin Jefferson,MIN,WR,103,1533,10
CeeDee Lamb,DAL,WR,101,1194,6
Garrett Wilson,NYJ,WR,101,1104,7
Drake London,ATL,WR,100,1271,9
Jaxon Smith-Njigba,SEA,WR,100,1130,6
D.J. Moore,CHI,WR,98,966,6
Wan'Dale Robinson,NYG,WR,93,699,3
Jerry Jeudy,CLE,WR,90,1229,4
Jakobi Meyers,LVR,WR,87,1027,4
Brian Thomas,JAX,WR,87,1282,10
Davante Adams,NYJ,WR,67,854,7
Ladd McConkey,LAC,WR,82,1149,7
Terry McLaurin,WAS,WR,82,1096,13
Tyreek Hill,MIA,WR,81,959,6
Courtland Sutton,DEN,WR,81,1081,8
Puka Nacua,LAR,WR,79,990,3
Jauan Jennings,SFO,WR,77,975,6
Khalil Shakir,BUF,WR,76,821,4
Mike Evans,TAM,WR,74,1004,11
Zay Flowers,BAL,WR,74,1059,4
Tee Higgins,CIN,WR,73,911,10
Josh Downs,IND,WR,72,803,5
Keenan Allen,CHI,WR,70,744,7
Michael Pittman Jr.,IND,WR,69,808,3
Nico Collins,HOU,WR,68,1006,7
DeVonta Smith,PHI,WR,68,833,8
A.J. Brown,PHI,WR,67,1079,7
Cooper Kupp,LAR,WR,67,710,6
DeMario Douglas,NWE,WR,66,621,3
D.K. Metcalf,SEA,WR,66,992,5
Darnell Mooney,ATL,WR,64,992,5
Calvin Ridley,TEN,WR,64,1017,4
Jordan Addison,MIN,WR,63,875,9
Marvin Harrison Jr.,ARI,WR,62,885,8
Ray-Ray McCloud,ATL,WR,62,686,1
Elijah Moore,CLE,WR,61,538,1
George Pickens,PIT,WR,59,900,3
Xavier Worthy,KAN,WR,59,638,6
Jaylen Waddle,MIA,WR,58,744,2
Jameson Williams,DET,WR,58,1001,7
DeAndre Hopkins,KAN,WR,41,437,4
Quentin Johnston,LAC,WR,55,711,8
Jayden Reed,GNB,WR,55,857,6
Rome Odunze,CHI,WR,54,734,3
Tank Dell,HOU,WR,51,667,3
Deebo Samuel,SFO,WR,51,670,3
Xavier Legette,CAR,WR,49,497,4
Tyler Lockett,SEA,WR,49,600,2
Jalen Tolbert,DAL,WR,49,610,7
Adam Thielen,CAR,WR,48,615,5
Tre Tucker,LVR,WR,47,539,3
Michael Wilson,ARI,WR,47,548,4
Romeo Doubs,GNB,WR,46,601,4
Rashod Bateman,BAL,WR,45,756,9
