Golfer Name
Scottie Scheffler
Jon Rahm
Bryson DeChambeau
Collin Morikawa
Xander Schauffele
Brooks Koepka
Cameron Smith
Dustin Johnson
Phil Mickelson
Hideki Matsuyama
Justin Thomas
Matt Fitzpatrick
Brian Harman
Wyndham Clark
Rory McIlroy
Will Zalatoris
Louis Oosthuizen
Tommy Fleetwood
Jordan Spieth
Viktor Hovland
Cameron Young
Paul Casey
Sung-Jae Im
Jason Day
Ludvig Aberg
Matthew Wolff
Sepp Straka
Tom Kim
Rory Sabbatini
Shane Lowry
Tony Finau
Max Homa
Harris English
Mito Pereira
Patrick Cantlay
C.T. Pan
Russell Henley
Patrick Reed
Thomas Detry
Padraig Harrington
Sebastian Munoz
Victor Perez
Guido Migliozzi
Kurt Kitayama
Cameron Davis
Harry Higgs
Dylan Frittelli
Marc Leishman
Rickie Fowler
Min-Woo Lee
Chris Kirk
Matthieu Pavon
Justin Rose
Billy Horschel
Corey Conners
Webb Simpson
Cameron Champ
Joaquin Niemann
Tyrrell Hatton
Abraham Ancer
Daniel Berger
Sahith Theegala
Joel Dahmen
Adam Scott
Sam Burns
Keegan Bradley
Mackenzie Hughes
Tom Hoge
Emiliano Grillo
Seamus Power
Branden Grace
Si-Woo Kim
Lucas Herbert
Jason Kokrak
Matt Wallace
Garrick Higgo
Lucas Glover
Stewart Cink
Talor Gooch
Brendon Todd
J.T. Poston
Sergio Garcia
Erik van Rooyen
Chez Reavie
Kevin Na
Kyoung-Hoon Lee
Akshay Bhatia
Luke List
Lanto Griffin
Taylor Moore
Kevin Kisner
Carlos Ortiz
Tiger Woods
Nick Taylor
Trey Mullinax
Lee Hodges
Matt Jones
Vincent Norrman
Hudson Swafford
Martin Laird
Bubba Watson
Martin Kaymer
Henrik Stenson
Jason Dufner
Francesco Molinari
Graeme McDowell
Charl Schwartzel
Ernie Els
Zach Johnson
Danny Willett
Jimmy Walker
Gary Woodland
Darren Clarke
Lee Westwood
Jim Furyk
Matt Kuchar
Jonas Blixt
Angel Cabrera
Scott Piercy
Michael Thompson
David Lynn
Gregory Havret
Erik Compton
J.B. Holmes
Ian Poulter
Anthony Kim
Peter Hanson
Brandt Snedeker
Kevin Chappell
Haotong Li
Carl Pettersson
Daniel Summerhays
Anders Hansen
Luke Donald
Thomas Pieters
K.J. Choi
Miguel Angel Jimenez
David Toms
Geoff Ogilvy
Hunter Mahan
Steve Stricker
Thomas Bjorn
Robert Karlsson
Robert Garrigus
Scott Verplank
John Peterson
Rafa Cabrera-Bello
Ryan Palmer
Bill Haas
Kiradech Aphibarnrat
Anirban Lahiri
Marcus Fraser
Chad Campbell
Steve Elkington
Charley Hoffman
Thorbjorn Olesen
Nick Watney
John Senden
Y.E. Yang
Ryan Moore
Fred Couples
Alex Noren
Retief Goosen
Vijay Singh
David Duval
Ben Curtis
Shaun Micheel
Mike Weir
Trevor Immelman
Michael Campbell
Todd Hamilton
Rich Beem
Chris DiMarco
Colin Montgomerie
Tim Clark
Kenny Perry
Justin Leonard
Stuart Appleby
Rocco Mediate
Niclas Fasth
Thomas Levet
Len Mattiace
Tom Watson
Woody Austin
Stephen Leaney
Bob May
Mark Brooks
Ricky Barnes
Jose Maria Olazabal
Jeff Maggert
Bernhard Langer
Mark Hensby
Loren Roberts
Billy Mayfair
Chris Riley
Chris Wood
Andres Romero
Steve Lowery
Ian Woosnam
Greg Norman
Davis Love III
Mark Calcavecchia
Shingo Katayama
Shigeki Maruyama
Toshi Izawa
Fred Funk
Tom Lehman
Camilo Villegas
Arron Oberholser
Richard Green
John Huston
Alex Cejka
D.J. Trahan
Greg Chalmers
Steve Flesch
Jerry Kelly
Rod Pampling
Nick Price
Scott Hoch
Nick Faldo
Jay Haas
Freddie Jacobson
Paul Azinger
Gary Evans
Tom Kite
Hideto Tanihara
Ross Fisher
Mathew Goggin
